SampleID,SampleTime,SiteDescription,Latitude,Longitude,Site,SITEID,PFBA,PFMPA,3:3 FTCA,PFPeA,PFMBA,4:2 FTS,NFDHA,PFHxA,PFBS,HFPO-DA,5:3 FTCA,PFEESA,PFHpA,PFPeS,ADONA,6:2 FTS,PFOA,PFHxS,7:3 FTCA,PFNA,PFHpS,8:2 FTS,N-MeFOSAA,PFDA,N-EtFOSAA,PFOS,PFUnDA,9Cl-PF3ONS,PFNS,PFDoDA,PFOSA,PFDS,PFTrDA,11Cl-PF3OUdS,PFTeDA,PFDoDS,N-MeFOSE,N-MeFOSA,N-EtFOSE,N-EtFOSA,CL,COND25,DO,PH,NH3_N,OP,OX_N,SCA,SK,SMG,SNA,SO4,WTEMP,TSS,TALK,Sum_PFAS,Sum_PFCAs,Sum_PFSAs,Sum_Precursors,SampleDate,PPT_7D,PPT_30D,PPT_90D,PPT_MAX1D_30D,WET_DAYS_30D,DRY_SPELL_30D,HEAVY_RAIN_DAYS_7D_10MM,HEAVY_RAIN_DAYS_7D_25MM,HEAVY_RAIN_DAYS_30D_10MM,HEAVY_RAIN_DAYS_30D_25MM,HEAVY_RAIN_DAYS_30D_P90,TMEAN_30D,TMEAN_90D,GDD_90D,HEAT_DAYS_30D,VPDMAX_MEAN_7D,VPDMAX_MEAN_30D,VPDMIN_MEAN_30D,VPDMAX_MAX_30D,HIGH_VPD_DAYS_30D,VPD_CONTRAST_7D_30D,ARIDITY_PROXY_30D,MONTH,GROWING_SEASON,PPT_DAY,TMEAN_DAY,TMAX_DAY,TMIN_DAY,VPDMAX_DAY,VPDMIN_DAY,VPDMEAN_DAY,Developed_1KM,Forest_1KM,Agriculture_1KM,Wetlands_1KM,Water_1KM,Barren_1KM,Shrubland_1KM,Grassland_1KM,Developed_2KM,Forest_2KM,Agriculture_2KM,Wetlands_2KM,Water_2KM,Barren_2KM,Shrubland_2KM,Grassland_2KM,Date
24-0207,9:10,Bull Run Marina,38.7416667,-77.3883333,RE30,S27,7.65,0.135718564,0.201739127,17.59,0.11463359,0.125340858,0.064273908,14.19,10.48,0.222024599,0.489419239,0.025528598,6.49,0.082545981,0.168680292,13.3,11.97,8.55,0.697624839,2.96,0.085452789,1.1,0.59,1.15,0.07813164,6.67,0.110878467,0.146014269,0.014891798,0.026182853,0.045552831,0.013965089,0.058085192,0.02286142,0.051301047,0.004707668,0.445838079,0.026844047,0.179620275,0.058640815,99.1,426,11,7.2,0.02,0.02,1.42,30.3,3.9,7.34,52.9,21.2,6.5,11.4,67.54461696,106.3864979,62.49679971,26.09596761,17.79373055,1/31/2024,53.39,179.5,179.5,58.71,11,6,1,1,4,3,4,2.203333333,2.203333333,11.2,0,6.788571429,5.267666667,0.452333333,18.33,0,1.520904762,34.07580839,1,0,0,4.4,6.1,2.6,3.86,1.21,2.535,8.366762178,76.07449857,1.06017192,3.266475645,10.0286533,0,0.372492837,0.830945559,13.78593448,68.70026525,5.778191985,3.333572299,7.548928239,0,0.415800416,0.437307334,1/31/2024
24-0208,8:30,Occoquan River at Ravenwood Bridge,38.7175,-77.3941667,RE35,S31,0.676241954,0.135955953,0.201602404,0.79,0.118586164,0.127257243,0.066802061,1.14,1.78,0.215927965,0.480891106,0.024762905,0.74,0.080858055,0.159785275,1.46,1.52,0.81,0.749070499,0.375368092,0.082221498,0.083256937,0.040084144,0.340615961,0.73,0.68,0.117667364,0.156569787,0.021034276,0.020874613,0.046027798,0.013417579,0.061337654,0.022702229,0.050533608,0.006354747,0.407207853,0.031004236,0.171430473,0.05249668,26.5,153,11.5,6.8,0.05,0.04,0.37,10.2,2.42,3.48,14.6,6.76,5.8,17.6,37.564758,14.78794711,6.087181361,3.677921075,5.022844676,1/31/2024,56.1,187.89,187.89,67,11,6,2,1,5,3,5,2.246666667,2.246666667,11.4,0,6.817142857,5.326333333,0.425666667,18.47,0,1.490809524,35.27567432,1,0,0,4.3,6.2,2.3,3.9,1.1,2.5,25.03580636,54.02463478,0.257805786,8.507590948,11.17158407,0,0.773417359,0.229160699,21.37842098,63.43315661,0.644791517,3.70396905,9.413956154,0.00716435,0.472847113,0.945694226,1/31/2024
24-0214,12:00,UOSA Tributary,38.796984,-77.457145,PF01,S19,22.99,1.26,0.200395664,22.12,0.114769651,0.113822686,0.066852579,21.51,13.07,0.207369415,0.484961035,0.027537604,8.25,0.085249908,0.164041153,15.36,18.21,3.33,0.720141104,4.33,0.083675742,0.073702076,0.4,1.53,0.72,5.22,0.120633837,0.132719247,0.016981178,0.03179431,0.050097345,0.012704246,0.064637428,0.024895962,0.056007869,0.006236165,0.438872172,0.029739607,0.163056191,0.052527734,136,832,10.9,7.2,0.02,0.04,6.45,65.1,13.4,9.15,74.5,58,10.2,5.6,98.09042677,141.8434219,100.5878431,22.01000005,19.24557876,2/1/2024,50.09,174.35,174.35,50.03,11,5,1,1,5,3,5,2.143333333,2.222580645,11.7,0,6.288571429,5.204666667,0.495333333,18.76,0,1.083904762,33.49878314,2,0,0,1.7,5.9,-2.5,2.63,0.27,1.45,53.44431688,29.19058553,2.755453502,9.529276693,4.936854191,0,0.057405281,0.086107922,63.31182796,24.19354839,1.433691756,9.11827957,1.82078853,0,0.086021505,0.035842294,2/1/2024
24-0215,12:00,Bull Run upstream of UOSA,38.797648,-77.458343,PF02A,S18,7.21,0.132327988,0.20183356,11.91,0.117052186,0.11977208,0.06939866,8.16,6.05,0.215003351,0.444896145,0.4,3.73,2.29,0.167534648,24.07,10.3,7.95,31.98,1.61,0.73,0.08208376,0.037433776,3.11,3.03,5.47,5.71,0.134296768,2.14,7.79,0.046620492,2.67,35.04,0.024302418,5.04,4.04,17.94,0.03220496,2.69,0.051603496,94.6,562,11.8,7.1,0.01,0.01,0.73,33.8,2.2,9.28,50.5,28,7.5,3.8,70.67653781,212.9363643,99.85938017,31.89859919,81.17838493,2/1/2024,50.09,174.35,174.35,50.03,11,5,1,1,5,3,5,2.143333333,2.222580645,11.7,0,6.288571429,5.204666667,0.495333333,18.76,0,1.083904762,33.49878314,2,0,0,1.7,5.9,-2.5,2.63,0.27,1.45,49.3547462,31.25896186,2.781760826,10.89761973,5.534843705,0,0.057355893,0.114711787,62.72401434,24.70250896,1.577060932,9.0609319,1.82078853,0,0.078853047,0.035842294,2/1/2024
24-0216,8:40,South Run,38.7544227,-77.6752321,PF03,S23,0.683273809,0.137947085,0.207652299,1.09,0.116512734,0.129930905,0.071886785,1.16,1.44,0.211436473,0.410185271,0.028493766,0.71,0.082180558,0.169189181,0.188131866,2.31,2.79,0.642024979,0.87,0.093455874,0.070022374,0.035569093,0.329493325,0.065859054,4.38,0.108271775,0.134130667,0.018127121,0.026256903,0.050990766,0.009981068,0.073808105,0.024076727,0.057670606,0.27,0.405388637,0.030199915,0.174680026,0.048836923,29,188,12.2,6.9,0.02,0.02,0.47,13.2,1.96,4.72,13.5,7.15,4.1,7.9,42.75915967,19.85566467,7.673234341,9.270445782,2.911984545,2/1/2024,49.83,187.06,187.06,69.78,11,5,1,1,4,2,4,1.986666667,2.058064516,11.1,0,6.402857143,5.271333333,0.418333333,18.72,0,1.13152381,35.48627798,2,0,0,1.6,5.9,-2.7,2.56,0.17,1.365,31.20526768,15.4881191,49.84254223,3.263670198,0.14314343,0,0.057257372,0,29.91109837,30.84313163,32.06194436,3.061370806,2.609693146,0,0.157728707,1.35503298,2/1/2024
24-0217,18:00,Broad Run at Bradley Forest,38.697913,-77.484825,PF04,S34,0.666455028,0.138816958,0.235363031,1.49,0.117433301,0.134999762,0.073161496,1.74,3.23,0.220002291,0.537679639,0.024396866,0.85,0.0809742,0.176064067,0.189992132,1.97,0.68,0.697888028,0.37135251,0.080564991,0.088546329,0.39,0.34970423,0.06743305,1.34,0.121728606,0.152134409,0.018559984,0.027695771,0.047333689,0.014614255,0.069074232,0.022619914,0.050907579,0.005767569,0.432415807,0.030127094,0.172965464,0.051503027,53.1,317,13.6,7.2,0.03,0.02,0.67,22.3,2.24,7.07,27.9,14.6,5.4,8.4,56.98952754,17.15827531,7.963168214,5.649632188,3.545474907,2/1/2024,50.27,181.6,181.6,50.07,11,5,1,1,5,3,5,2.006666667,2.077419355,11.2,0,6.178571429,5.18,0.389666667,18.39,0,0.998571429,35.05791506,2,0,0,1.1,6,-3.7,2.65,0.21,1.43,27.85571142,53.965073,10.392213,7.300314916,0.085886058,0,0.343544231,0.057257372,26.77176639,52.81261197,9.602293085,9.494804729,0.680759584,0.028663561,0.537441777,0.071658904,2/1/2024
24-0212,17:00,Occoquan High Dam,38.6938889,-77.2772222,ST01,S37,0.694923875,0.126370993,0.199127844,2.85,0.118371759,0.117771686,0.067827393,2.37,1.94,0.223437131,0.480580106,0.021423277,1.31,0.076794054,0.163559007,8.31,3.26,1.44,0.721640089,1.02,0.076514286,0.080790366,0.032576613,0.326737605,0.074813492,1.64,0.12712672,0.143382172,0.017930356,0.028993027,0.051560852,0.012023582,0.063230766,0.023809392,0.052688544,0.005008153,0.461166445,0.026554796,0.159033059,0.051381482,46.2,242,12.4,6.9,0.03,0.04,0.43,13.2,2.69,3.94,26,7.98,6.5,28.4,40.79315699,28.96714892,12.34844329,5.396885272,11.22182036,2/1/2024,55.46,188.56,188.56,69.61,11,5,2,1,5,3,5,2.48,2.561290323,11.1,0,6.614285714,5.369666667,0.507666667,18.9,0,1.244619048,35.11577379,2,0,0.34,2.2,6.1,-1.8,2.65,0.17,1.41,22.75329136,39.23869491,0.028620492,0.515168861,15.82713223,17.48712078,1.917572982,2.232398397,45.4512894,35.20773639,0.128939828,0.32234957,7.191977077,8.832378223,1.053008596,1.812320917,2/1/2024
24-0213,12:30,Bull Run at Rt 28,38.8030556,-77.4497222,ST45,S15,5.55,0.12799966,0.213884498,12.14,0.116457276,0.12730692,0.06275026,9.52,6.94,0.220744386,0.448890523,0.027070018,4.5,0.077747574,0.163369444,17.74,9.24,4.44,0.66260677,1.88,0.078549209,0.072825439,0.39,0.312655936,0.72,3.89,0.123278989,0.146163004,0.018202544,0.027984236,0.051756958,0.011957963,0.06369852,0.020790839,0.048351177,0.005327479,0.44457326,0.029714759,0.176253204,0.052825116,106,568,11.7,7.3,0.01,0.02,2.46,43.3,5.49,9.23,58.1,36.9,7.8,4.3,80.78940904,80.88373596,43.65042579,15.65580863,21.57750154,2/1/2024,50.09,174.35,174.35,50.03,11,5,1,1,5,3,5,2.143333333,2.222580645,11.7,0,6.288571429,5.204666667,0.495333333,18.76,0,1.083904762,33.49878314,2,0,0,1.7,5.9,-2.5,2.63,0.27,1.45,42.10074413,40.98454493,3.14825415,7.126502576,6.410990269,0,0.085861477,0.143102461,59.5553962,30.46253137,1.039799211,6.905700968,1.821441377,0,0.179275726,0.035855145,2/1/2024
24-0353,13:50,Cannon Branch at Cannon Branch Cemetery,38.7433333,-77.5133667,FLOAT A1,S26,24.37,1.44,0.240185782,8.85,0.37,0.137097413,0.069473894,5.86,4.16,0.96,0.492724672,0.024176581,3.54,9.3,0.175490999,2.94,8.26,10.13,8.53,14.22,8.93,0.078209329,0.03771802,0.330200425,34.23,38.1,0.114720055,0.142548518,18.88,0.025542892,0.047805032,23.78,0.061972055,0.024509507,0.050001963,10.74,0.441474925,33.76,0.166465412,9.55,136,795.1432604,9.371808111,7.678633663,0.02,0.049825734,0.72,68.6,1.68,13.5,85.2,97.1,18.16555395,6.2,107.5568164,283.5603175,67.49243739,124.2112346,91.85664548,2/20/2024,31.05,89.58,232.19,42.15,9,12,1,1,2,2,2,4.5,3.034,16.3,0,6.117142857,6.394333333,0.567,18.67,0,-0.277190476,14.00927905,2,0,0,1.9,8.9,-5.2,7.61,0.57,4.09,94.15305245,2.120951562,1.633705933,0.515907137,1.54772141,0,0.028661508,0,90.70717203,3.396145303,2.414559003,2.794296769,0.67349717,0,0.014329727,0,2/20/2024
24-0346,11:30,Bull Run upstream of UOSA,38.797717,-77.45866,PF02,S17,13.01,1.15,0.224100689,13.91,0.41,0.116123284,0.063254776,10.52,7.06,0.84,0.479717534,0.025886915,4.48,1.64,0.15779331,11.33,9.38,8.09,0.694370868,2.55,3.72,0.085514796,0.038949842,4.07,0.076722619,31.85,13.1,0.138496955,12.24,0.025442933,0.049509476,0.014614075,0.064819491,0.02534108,0.056088674,0.005744077,0.419840848,2.06,0.161145147,0.051179615,102,632,13.6,7.7,0.01,0.02,2.9,50.3,7.09,10.1,59.2,57.9,7,5.3,86.95725986,154.384657,72.7263511,64.8100831,16.8482228,2/20/2024,32.77,89.21,213.47,41.53,9,12,1,1,2,2,2,4.596666667,3.144,16,0,6.418571429,6.617333333,0.635333333,18.76,0,-0.198761905,13.48126133,2,0,0,2,9,-5,7.85,0.61,4.23,48.61150873,31.5774406,2.776982537,11.30833095,5.553965073,0,0.057257372,0.114514744,62.57255464,24.81547832,1.59082766,9.10784665,1.820136152,0,0.057327123,0.035829452,2/20/2024
24-0351,15:00,South Run,38.7544227,-77.6752321,PF03,S23,3.98,0.132987338,0.208946267,3.01,0.115034792,0.112886844,0.066746453,2.3,2.98,0.207763982,0.451521052,0.024358759,1.6,0.26,0.163950011,0.19047725,7.45,7.58,0.735649128,3.91,0.084205364,0.078004948,0.71,0.327881131,0.77,24.14,1.13,0.135981403,0.43,0.020876379,0.046603455,0.016022696,0.060803644,0.024482751,0.055408713,0.005975427,2.75,0.029594109,0.158590689,0.053417857,34.6,220.8094526,8.101233267,7.254719936,0.01,0.041455165,0.41,18.5,1.81,5.84,16.2,10.4,21.04242918,4.3,51.1651975,66.50817044,24.092992,35.6810264,6.734152045,2/20/2024,30.67,89.46,226.69,38.86,9,12,1,0,2,1,2,4.403333333,2.954,14.9,0,6.574285714,6.761666667,0.5,18.72,0,-0.187380952,13.23046586,2,0,0,1.7,9.1,-5.8,8.01,0.41,4.21,31.20526768,15.4881191,49.84254223,3.263670198,0.14314343,0,0.057257372,0,29.91109837,30.84313163,32.06194436,3.061370806,2.609693146,0,0.157728707,1.35503298,2/20/2024
24-0352,12:50,Broad Run at Bradley Forest,38.697913,-77.484825,PF04,S34,6.38,0.131829015,0.24063646,2.76,0.11803669,0.123521348,0.064024769,1.97,3.12,0.206413389,0.451854014,0.023267198,1.26,0.081988383,0.181976931,0.8,2.89,1.26,0.621420791,1.03,0.085508166,0.078182061,0.036945106,0.339128032,0.77,2.03,0.109170204,0.138729453,0.37,0.027578828,0.051111303,0.012228668,0.063825667,0.025722665,0.058116235,0.006381165,2.68,0.44,0.163010475,0.054882541,48.7,290.650827,8.423498938,7.369497415,0.01,0.02518857,0.39,23.4,2.39,7.14,26.2,19,19.95302207,4.7,57.03304964,31.25548956,17.13768467,7.153825699,6.963979188,2/20/2024,28.83,86.99,218.32,40.58,9,12,1,0,2,1,2,4.36,2.934,14.9,0,6.208571429,6.518666667,0.424666667,18.39,0,-0.310095238,13.34475353,2,0,0,1.3,9,-6.4,7.65,0.4,4.025,27.85571142,53.965073,10.392213,7.300314916,0.085886058,0,0.343544231,0.057257372,26.77176639,52.81261197,9.602293085,9.494804729,0.680759584,0.028663561,0.537441777,0.071658904,2/20/2024
