SampleDate,SITEID,SampleTime,SiteDescription,Latitude,Longitude,SampleID,Site,PFBA,PFMPA,3:3 FTCA,PFPeA,PFMBA,4:2 FTS,NFDHA,PFHxA,PFBS,HFPO-DA,5:3 FTCA,PFEESA,PFHpA,PFPeS,ADONA,6:2 FTS,PFOA,PFHxS,7:3 FTCA,PFNA,PFHpS,8:2 FTS,N-MeFOSAA,PFDA,N-EtFOSAA,PFOS,PFUnDA,9Cl-PF3ONS,PFNS,PFDoDA,PFOSA,PFDS,PFTrDA,11Cl-PF3OUdS,PFTeDA,PFDoDS,N-MeFOSE,N-MeFOSA,N-EtFOSE,N-EtFOSA,CL,COND25,DEPTH,DO,FIELD_NO3,PH,FLOW,NH3_N,OP,OX_N,SCA,SK,SMG,SNA,SO4,STAGE,WTEMP,TSS,TALK,DOC,ORP,PALK,SECCHI,TDN,TDS,TOC,TP,TSP,TN,TURB,PPT_7D,PPT_30D,PPT_90D,PPT_MAX1D_30D,WET_DAYS_30D,DRY_SPELL_30D,HEAVY_RAIN_DAYS_7D_10MM,HEAVY_RAIN_DAYS_7D_25MM,HEAVY_RAIN_DAYS_30D_10MM,HEAVY_RAIN_DAYS_30D_25MM,HEAVY_RAIN_DAYS_30D_P90,TMEAN_30D,TMEAN_90D,GDD_90D,HEAT_DAYS_30D,VPDMAX_MEAN_7D,VPDMAX_MEAN_30D,VPDMIN_MEAN_30D,VPDMAX_MAX_30D,HIGH_VPD_DAYS_30D,VPD_CONTRAST_7D_30D,ARIDITY_PROXY_30D,MONTH,GROWING_SEASON,PPT_DAY,TMEAN_DAY,TMAX_DAY,TMIN_DAY,VPDMAX_DAY,VPDMIN_DAY,VPDMEAN_DAY,Developed_1KM,Forest_1KM,Agriculture_1KM,Wetlands_1KM,Water_1KM,Barren_1KM,Shrubland_1KM,Grassland_1KM,Developed_2KM,Forest_2KM,Agriculture_2KM,Wetlands_2KM,Water_2KM,Barren_2KM,Shrubland_2KM,Grassland_2KM,Date
6/17/2024,S1,11:40,Sand Branch at Willard Rd,38.925514,-77.486961,24-1755,FLOAT D2,3.76,1.43,0,0,0,0,0,2.25,2.95,0,0,0,0.47,0.08,2.79,4.06,-0.25,2.34,0,-0.54,0,0,0,0,0,2.04,0,0,0,0,0,0,0,0,0,0,3.03,0,0,0,23.6,1270,,8.88,,,,0.03,<0.01,0.2,170,1.66,61.7,37,532,,23.6,7.4,,,,,,,,,,,,,2.01,54.11,203.89,12.17,8,6,0,0,2,0,3,21.9,16.55222222,641.4,1,24.45285714,20.92533333,1.876333333,33.24,4,3.52752381,2.585860839,6,1,0,24.2,30.1,18.4,24.76,4.95,14.855,29.02208202,42.38600516,2.896472613,1.864066533,0.028677947,21.39374821,1.347863493,1.061084026,46.84833274,34.4209394,3.234134098,1.556113302,0.050197203,9.946217282,0.817497311,3.126568663,6/17/2024
2/20/2024,S10,9:50,Cub Run upstream of US 50,38.909257,-77.466674,24-0347,PF05,28.36,0.08,0,103.7920966,0.06,-0.05,-0.25,59.00525599,7.59,0.8,3.67,0.14,25.52,5.26,0.51,335.5324119,23.63,33.64284602,3.04,7.14,0.94,6.91,0,0.96,0,32.58,0.22,0.47,0.39,-0.13,0.24,-0.25,0,-0.52,-0.06,-0.13,2.7,0.43,0.34,0.23,99.2,986,,11.5,,7.7,,0.01,<0.01,0.56,103,6.92,31.5,69.7,233,,6.1,21.3,,,,,,,,,,,,,27.72,72.69,190.05,35.07,8,13,1,0,2,1,2,4.756666667,3.41,16.3,0,6.374285714,6.678,0.925666667,17.83,0,-0.303714286,10.88499551,2,0,0,2.2,9.1,-4.7,7.96,0.68,4.32,73.93174649,14.85517637,0.68827072,9.664468024,0.143389733,0,0.716948666,0,69.40619621,23.88841079,0.839070568,4.410499139,0.157773953,0.860585198,0.437464142,0,2/20/2024
4/15/2024,S10,10:20,Cub Run upstream of US 50,38.909257,-77.466674,24-0793,PF05,24.67,0.24,0,86.54,0,0.71,-0.05,52.86,8.16,1.05,4.9,0,22.22,4.62,0.85,282.39,21.5,43.11,0,6.46,0.78,6.86,0.32,1.41,0.45,29.56,0.12,0.8,0,-0.07,0.12,0,0,0,0,0,0,0.12,0,0,57.4,918,,7.77,,7.6,,0.06,0.01,0.34,101,3.79,33.4,49.2,263,,,5.6,,,,,,,,,,,,,5.46,82.72,246.28,19.66,9,7,0,0,4,0,5,10.47666667,7.137777778,109.2,0,16.22285714,11.717,1.759,21.32,0,4.505857143,7.059827601,4,1,0,20.2,28.1,12.3,27.74,4.92,16.33,73.93174649,14.85517637,0.68827072,9.664468024,0.143389733,0,0.716948666,0,69.40619621,23.88841079,0.839070568,4.410499139,0.157773953,0.860585198,0.437464142,0,4/15/2024
5/20/2024,S10,10:00,Cub Run upstream of US 50,38.909257,-77.466674,24-1326,PF05,17.82,-1.02,0,66.21,0,0,0,34.48,2.1,0,0,0,16.13,2.12,-0.61,0,19.33,22.18,0,5.28,0.97,2.1,0,0.73,0,26.87,-0.54,-0.82,0,0,0,0,0,0,0,0,-2.97,0,-1.58,0.58,52.4,705,,10.6,,,,0.08,0.02,0.37,69.9,6.1,21.2,43.7,154,,16.5,18.7,123.6,,,,,,,,,,,,28.26,83.34,239.38,15.92,12,8,1,0,4,0,5,16.78666667,12.49333333,344.8,2,10.53714286,14.926,1.613,34.47,3,-4.388857143,5.583545491,5,1,0,18.6,24,13.3,12.69,0.64,6.665,73.93174649,14.85517637,0.68827072,9.664468024,0.143389733,0,0.716948666,0,69.40619621,23.88841079,0.839070568,4.410499139,0.157773953,0.860585198,0.437464142,0,5/20/2024
6/17/2024,S10,9:45,Cub Run upstream of US 50,38.909257,-77.466674,24-1751,PF05,9.36,1.47,0,21.9,0.94,0,0,14.37,4.62,0,0,0,5.32,1.34,2.87,31.51,3.64,9.07,0,0.73,0,2.37,0,0.56,0,13.41,1.99,0,0,0,0,0,0,0,0,0,3.22,0,0,0,36.8,1210,,7.27,,,,0.04,0.01,0.16,150,2.74,53.1,43.3,442,,24.2,5.4,,,,,,,,,,,,,2.87,54.67,207,12.82,9,6,0,0,2,0,2,22.02333333,16.65,649.1,1,25.01714286,21.616,2.152666667,33.79,3,3.401142857,2.529145078,6,1,0,24.4,30.2,18.6,25.44,5.71,15.575,73.93174649,14.85517637,0.68827072,9.664468024,0.143389733,0,0.716948666,0,69.40619621,23.88841079,0.839070568,4.410499139,0.157773953,0.860585198,0.437464142,0,6/17/2024
7/15/2024,S10,8:25,Cub Run upstream of US 50,38.909257,-77.466674,24-2126,PF05,19.01,1.11,0,67.77,0.81,1.48,0,37.93,7.09,-0.09,19.34,0,14.05,2.09,2.02,136.13,11.69,11.22,0,4.67,0.62,-0.92,0,3.18,0,19.7,0.27,0,0.82,0,0.53,0,0,0,0,0,0,0,0,0,44.7,1040,,6.61,,,,0.05,0.02,0.18,128,4.07,40.6,45.8,334,,26.9,8.7,,,,,,,,,,,,,30.13,60.8,184.49,17.14,7,11,2,0,4,0,4,26.75,21.78666667,1063.6,20,28.88714286,30.50166667,3.758333333,42.66,20,-1.61452381,1.993333698,7,1,0,30.1,36.3,23.8,42.46,4.07,23.265,73.93174649,14.85517637,0.68827072,9.664468024,0.143389733,0,0.716948666,0,69.40619621,23.88841079,0.839070568,4.410499139,0.157773953,0.860585198,0.437464142,0,7/15/2024
8/19/2024,S10,9:45,Cub Run upstream of US 50,38.909257,-77.466674,24-2439,PF05,17.18,0.79,0,48.99,1.16,0,0,29.63,7.44,1.78,0,0,11.52,2.88,2.44,64.17,11.79,8.08,-4.05,4.3,0.94,5.66,0,3.25,0,18.1,2.57,0,0.28,0,1.03,0,0,0,1.16,0,0,0,0,0,,591,,7.06,,,,0.04,0.04,0.21,53.8,4.6,15.4,40.6,,,23.2,9.9,,,,,,,,,,,,,6.53,75.07,188.3,22.95,10,9,0,0,3,0,3,26.13,25.46555556,1391.9,10,25.20428571,26.22033333,2.063666667,43.09,14,-1.016047619,2.863045219,8,1,19.17,25.8,31.3,20.2,22.03,0.92,11.475,73.93174649,14.85517637,0.68827072,9.664468024,0.143389733,0,0.716948666,0,69.40619621,23.88841079,0.839070568,4.410499139,0.157773953,0.860585198,0.437464142,0,8/19/2024
9/16/2024,S10,9:05,Cub Run upstream of US 50,38.909257,-77.466674,24-2904,PF05,14.54,1.37,0,22.49,1.28,0,0,14.08,5.75,0,0,0,9.66,2.99,3.01,9.05,10.98,12.96,21.89,1.8,0,3.96,0,0,0,13.99,0,0,0,0,0,0,0,0,0,0,0,0,10.66,0,34.8,1170,,6.65,,,,0.21,0.02,1.16,146,2.79,49.2,44.3,413,,19.3,7.2,,,,,,,,,,,,,0,70.11,213.66,37.69,5,14,0,0,2,1,2,21.86333333,25.16222222,1364.6,4,23.57428571,22.07966667,1.583666667,41.55,4,1.494619048,3.175319676,9,1,0,21,28,14.1,21.68,1.74,11.71,73.93174649,14.85517637,0.68827072,9.664468024,0.143389733,0,0.716948666,0,69.40619621,23.88841079,0.839070568,4.410499139,0.157773953,0.860585198,0.437464142,0,9/16/2024
10/21/2024,S10,8:30,Cub Run above US50,38.909257,-77.466674,24-3364,PF05,18.79,1.86,0,37.98,2.22,0,0,20.99,5.12,0,0,0,10.11,2.86,4.58,52.52,7.09,12.72,0,2.97,0,4.71,0,0.41,0,12.91,0,0,0,0,0,0,0,0,0,0,10.61,0,0,0,29.7,1320,,9.83,,,,0.01,0.01,1.31,176,2.82,59.2,43.2,543,,13.4,3.7,,,,,,,,,,,,,0,71.79,220.25,34.26,9,18,0,0,2,1,2,17.07,21.43222222,1032.1,0,14.64142857,11.948,0.730333333,23.7,0,2.693428571,6.008536994,10,1,0,14.7,24.4,5,23.09,0.54,11.815,73.93174649,14.85517637,0.68827072,9.664468024,0.143389733,0,0.716948666,0,69.40619621,23.88841079,0.839070568,4.410499139,0.157773953,0.860585198,0.437464142,0,10/21/2024
11/18/2024,S10,10:40,Cub Run above US50,38.909257,-77.466674,24-3575,PF05,14.89,0.43,0,25.63,0.34,0,0,18.66,3.16,0,0,0,8.64,1.37,0.55,0,5.38,11.31,8.94,1.31,0.39,0,0,0,0,10.33,0,0,0,0,0,0,0,0,0,0,-2.08,0,0,0,30.7,1270,,12,,,,0.02,<0.01,0.08,158,3.02,52.5,38.1,466,,10.3,1.4,,,,,,,,,,,,,14.96,14.96,143.27,8.48,2,23,0,0,0,0,1,13.15666667,17.39666667,684,0,10.11571429,15.62466667,1.262333333,26.43,0,-5.508952381,0.957460426,11,0,0,8.6,15.1,2.1,9.74,0.63,5.185,73.93174649,14.85517637,0.68827072,9.664468024,0.143389733,0,0.716948666,0,69.40619621,23.88841079,0.839070568,4.410499139,0.157773953,0.860585198,0.437464142,0,11/18/2024
